trap_ID,lat,long,area
100-1,26.523715,-82.18971,mrr
100-2,26.522929,-82.190153,mrr
100-3,26.522949,-82.191294,mrr
100-4,26.523731,-82.191744,mrr
100-5,26.524412,-82.191317,mrr
100-6,26.524506,-82.190228,mrr
150-1,26.523753,-82.189125,mrr
150-2,26.522667,-82.189552,mrr
150-3,26.522328,-82.190635,mrr
150-4,26.523085,-82.192055,mrr
150-5,26.524436,-82.191941,mrr
150-6,26.525009,-82.1902,mrr
200-1,26.52381,-82.188582,mrr
200-2,26.522648,-82.188859,mrr
200-3,26.521968,-82.190824,mrr
200-4,26.522454,-82.192159,mrr
200-5,26.523841,-82.192729,mrr
200-6,26.524965,-82.192244,mrr
200-7,26.525538,-82.190389,mrr
200-8,26.524711,-82.189493,mrr
250-1,26.52385,-82.188171,mrr
250-2,26.522016,-82.188791,mrr
250-3,26.521488,-82.190202,mrr
250-4,26.522002,-82.192305,mrr
250-5,26.523008,-82.193073,mrr
250-6,26.524585,-82.193011,mrr
250-7,26.525599,-82.192094,mrr
250-8,26.525818,-82.190577,mrr
300-1,26.521164,-82.189434,mrr
300-2,26.521139,-82.191752,mrr
300-3,26.525544,-82.192901,mrr
300-4,26.526403,-82.190422,mrr
400-1,26.52025,-82.189502,mrr
400-2,26.520143,-82.191568,mrr
400-3,26.527473,-82.191357,mrr
400-4,26.527186,-82.189339,mrr
50-1,26.523684,-82.190193,mrr
50-2,26.523046,-82.190758,mrr
50-3,26.523709,-82.191221,mrr
50-4,26.524132,-82.190544,mrr